product_id,category,title,brand,price,mrp,discount,rating,num_reviews,sizes_available,colors_available,material,pattern,fit_type,description,product_url,image_urls,video_urls,local_image_paths
B0FV2TDJ6H,Shirt,"Symbol Premium Men's Mandarin Collar Casual Cotton Poplin Shirt - Regular Fit |Full Sleeve | Pure Cotton (Available in Plus Sizes)",Visit the Symbol Premium Store,899,"₹2,499",-64%,4.0 4.0 out of 5 stars,(38),,,,,,,https://www.amazon.in/dp/B0FV2TDJ6H,"https://m.media-amazon.com/images/I/61q1rt9l5DL._SL1500_.jpg | https://m.media-amazon.com/images/I/71CrGShqDvL._SL1500_.jpg | https://m.media-amazon.com/images/I/71sKER3agFL._SL1500_.jpg | https://m.media-amazon.com/images/I/71GjuHIxEEL._SL1500_.jpg | https://m.media-amazon.com/images/I/81MMWYCmHfL._SL1500_.jpg | https://m.media-amazon.com/images/I/71RmuU7u5qL._SL1500_.jpg | https://m.media-amazon.com/images/I/61Gan8F2cqL._SL1500_.jpg | https://m.media-amazon.com/images/I/71dpxrHyGPL._SL1500_.jpg",,"images/shirts/shirt_01_img1.jpg | images/shirts/shirt_01_img2.jpg | images/shirts/shirt_01_img3.jpg | images/shirts/shirt_01_img4.jpg | images/shirts/shirt_01_img5.jpg | images/shirts/shirt_01_img6.jpg | images/shirts/shirt_01_img7.jpg | images/shirts/shirt_01_img8.jpg"
B0FV34RMVN,Shirt,"Symbol Premium Men Stylish Solid All Day Fresh Buttondown Casual Shirt - Regular Fit | Plain | Full Sleeve | Cotton Semi Formal Wear (Available in Plus Size & Combo Pack)",Visit the Symbol Premium Store,"1,099","₹2,399",-54%,4.0 4.0 out of 5 stars,(434),,,,,,,https://www.amazon.in/dp/B0FV34RMVN,"https://m.media-amazon.com/images/I/71PD8TFxc8L._SL1500_.jpg | https://m.media-amazon.com/images/I/716LHmFBoEL._SL1500_.jpg | https://m.media-amazon.com/images/I/71bfprUYv3L._SL1500_.jpg | https://m.media-amazon.com/images/I/812VRFJYZQL._SL1500_.jpg | https://m.media-amazon.com/images/I/91bAjwMoW3L._SL1500_.jpg | https://m.media-amazon.com/images/I/71IzZzS2C4L._SL1500_.jpg | https://m.media-amazon.com/images/I/71WsyCV4DIL._SL1500_.jpg | https://m.media-amazon.com/images/I/71nMh-+b12L._SL1500_.jpg | https://m.media-amazon.com/images/I/713GSU6VulL._SL1500_.jpg | https://m.media-amazon.com/images/I/71NCBXev2YL._SL1500_.jpg",,"images/shirts/shirt_02_img1.jpg | images/shirts/shirt_02_img2.jpg | images/shirts/shirt_02_img3.jpg | images/shirts/shirt_02_img4.jpg | images/shirts/shirt_02_img5.jpg | images/shirts/shirt_02_img6.jpg | images/shirts/shirt_02_img7.jpg | images/shirts/shirt_02_img8.jpg | images/shirts/shirt_02_img9.jpg | images/shirts/shirt_02_img10.jpg"
B0FV2SP1GF,Shirt,"Symbol Premium Men's Mandarin Collar Casual Cotton Poplin Shirt - Regular Fit |Full Sleeve | Pure Cotton (Available in Plus Sizes)",Visit the Symbol Premium Store,899,"₹2,499",-64%,4.0 4.0 out of 5 stars,(38),,,,,,,https://www.amazon.in/dp/B0FV2SP1GF,"https://m.media-amazon.com/images/I/71dpxrHyGPL._SL1500_.jpg | https://m.media-amazon.com/images/I/711PIKzec8L._SL1500_.jpg | https://m.media-amazon.com/images/I/61wDlM7iAnL._SL1500_.jpg | https://m.media-amazon.com/images/I/71+HpGiHhNL._SL1500_.jpg | https://m.media-amazon.com/images/I/814D7KMI2IL._SL1500_.jpg | https://m.media-amazon.com/images/I/61q1rt9l5DL._SL1500_.jpg | https://m.media-amazon.com/images/I/71RmuU7u5qL._SL1500_.jpg | https://m.media-amazon.com/images/I/61Gan8F2cqL._SL1500_.jpg",,"images/shirts/shirt_03_img1.jpg | images/shirts/shirt_03_img2.jpg | images/shirts/shirt_03_img3.jpg | images/shirts/shirt_03_img4.jpg | images/shirts/shirt_03_img5.jpg | images/shirts/shirt_03_img6.jpg | images/shirts/shirt_03_img7.jpg | images/shirts/shirt_03_img8.jpg"
B0C27S5WDS,Shirt,Peter England Men's Slim Fit Full Sleeve Cotton Solid Casual Shirt with Pocket,Visit the Peter England Store,781,"₹1,499",-48%,4.0 4.0 out of 5 stars,(811),,,,,,,https://www.amazon.in/dp/B0C27S5WDS,"https://m.media-amazon.com/images/I/61gEywdmEnL._SL1500_.jpg | https://m.media-amazon.com/images/I/61xGh0SJ8eL._SL1500_.jpg | https://m.media-amazon.com/images/I/61TQje-GLbL._SL1500_.jpg | https://m.media-amazon.com/images/I/61AKaRgdw8L._SL1500_.jpg | https://m.media-amazon.com/images/I/61A3SJrSbOL._SL1500_.jpg | https://m.media-amazon.com/images/I/61ud0yRvDcL._SL1500_.jpg | https://m.media-amazon.com/images/I/61wwq13hV-L._SL1500_.jpg | https://m.media-amazon.com/images/I/51lZvTmlvYL._SL1500_.jpg | https://m.media-amazon.com/images/I/61fWcyZ3YQL._SL1500_.jpg | https://m.media-amazon.com/images/I/5184V1h0wKL._SL1500_.jpg | https://m.media-amazon.com/images/I/611iCRvBX+L._SL1500_.jpg",,"images/shirts/shirt_04_img1.jpg | images/shirts/shirt_04_img2.jpg | images/shirts/shirt_04_img3.jpg | images/shirts/shirt_04_img4.jpg | images/shirts/shirt_04_img5.jpg | images/shirts/shirt_04_img6.jpg | images/shirts/shirt_04_img7.jpg | images/shirts/shirt_04_img8.jpg | images/shirts/shirt_04_img9.jpg | images/shirts/shirt_04_img10.jpg | images/shirts/shirt_04_img11.jpg"
B0C27Z76M1,Shirt,"Peter England Men's Slim Fit Full Sleeve Checkered Casual Shirt | 100% Cotton | Premium Twill Weave",Visit the Peter England Store,899,"₹1,799",-50%,4.1 4.1 out of 5 stars,(840),,,,,,,https://www.amazon.in/dp/B0C27Z76M1,"https://m.media-amazon.com/images/I/71l0-kWi7zL._SL1500_.jpg | https://m.media-amazon.com/images/I/71cLA8JTpgL._SL1500_.jpg | https://m.media-amazon.com/images/I/61a00PqtCIL._SL1500_.jpg | https://m.media-amazon.com/images/I/71vfnY-O0KL._SL1500_.jpg | https://m.media-amazon.com/images/I/61tgkZRAktL._SL1500_.jpg | https://m.media-amazon.com/images/I/71mQmZ3h3IL._SL1500_.jpg | https://m.media-amazon.com/images/I/71oKHhAMqYL._SL1500_.jpg | https://m.media-amazon.com/images/I/71Trj-qe77L._SL1500_.jpg | https://m.media-amazon.com/images/I/71WnPw6Rm8L._SL1500_.jpg | https://m.media-amazon.com/images/I/71zzwRHV29L._SL1500_.jpg | https://m.media-amazon.com/images/I/71mWXmRQaYL._SL1500_.jpg",,"images/shirts/shirt_05_img1.jpg | images/shirts/shirt_05_img2.jpg | images/shirts/shirt_05_img3.jpg | images/shirts/shirt_05_img4.jpg | images/shirts/shirt_05_img5.jpg | images/shirts/shirt_05_img6.jpg | images/shirts/shirt_05_img7.jpg | images/shirts/shirt_05_img8.jpg | images/shirts/shirt_05_img9.jpg | images/shirts/shirt_05_img10.jpg | images/shirts/shirt_05_img11.jpg"
B0FV342RRG,Shirt,"Symbol Premium Men Stylish Solid All Day Fresh Buttondown Casual Shirt - Regular Fit | Plain | Full Sleeve | Cotton Semi Formal Wear (Available in Plus Size & Combo Pack)",Visit the Symbol Premium Store,"1,429","₹2,599",-45%,4.0 4.0 out of 5 stars,(434),,,,,,,https://www.amazon.in/dp/B0FV342RRG,"https://m.media-amazon.com/images/I/71PD8TFxc8L._SL1500_.jpg | https://m.media-amazon.com/images/I/716LHmFBoEL._SL1500_.jpg | https://m.media-amazon.com/images/I/71bfprUYv3L._SL1500_.jpg | https://m.media-amazon.com/images/I/812VRFJYZQL._SL1500_.jpg | https://m.media-amazon.com/images/I/91bAjwMoW3L._SL1500_.jpg | https://m.media-amazon.com/images/I/71IzZzS2C4L._SL1500_.jpg | https://m.media-amazon.com/images/I/71WsyCV4DIL._SL1500_.jpg | https://m.media-amazon.com/images/I/71nMh-+b12L._SL1500_.jpg | https://m.media-amazon.com/images/I/713GSU6VulL._SL1500_.jpg | https://m.media-amazon.com/images/I/71NCBXev2YL._SL1500_.jpg",,"images/shirts/shirt_06_img1.jpg | images/shirts/shirt_06_img2.jpg | images/shirts/shirt_06_img3.jpg | images/shirts/shirt_06_img4.jpg | images/shirts/shirt_06_img5.jpg | images/shirts/shirt_06_img6.jpg | images/shirts/shirt_06_img7.jpg | images/shirts/shirt_06_img8.jpg | images/shirts/shirt_06_img9.jpg | images/shirts/shirt_06_img10.jpg"
B0BKQ6JSSN,Shirt,Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Twill Weave Cotton,Visit the Peter England Store,809,"₹1,599",-49%,3.7 3.7 out of 5 stars,"(1,135)",,,,,,,https://www.amazon.in/dp/B0BKQ6JSSN,"https://m.media-amazon.com/images/I/61FFR0ynH-L._SL1500_.jpg | https://m.media-amazon.com/images/I/61ob0KlCsAL._SL1500_.jpg | https://m.media-amazon.com/images/I/71M8qGFD2+L._SL1500_.jpg | https://m.media-amazon.com/images/I/511FUBpPmPL._SL1500_.jpg | https://m.media-amazon.com/images/I/71zg+Si6I5L._SL1500_.jpg | https://m.media-amazon.com/images/I/81i7OxZa6QL._SL1500_.jpg | https://m.media-amazon.com/images/I/71AFjzaxLHL._SL1500_.jpg | https://m.media-amazon.com/images/I/51D2j9+DkML._SL1500_.jpg | https://m.media-amazon.com/images/I/61hBBcN0x+L._SL1500_.jpg | https://m.media-amazon.com/images/I/712bgh+1qiL._SL1500_.jpg | https://m.media-amazon.com/images/I/614UuWRnGdL._SL1500_.jpg | https://m.media-amazon.com/images/I/71TXN3yoVjL._SL1500_.jpg | https://m.media-amazon.com/images/I/51Uwu6AYhRL._SL1500_.jpg | https://m.media-amazon.com/images/I/51uncsLAYPL._SL1500_.jpg | https://m.media-amazon.com/images/I/713R09we9dL._SL1500_.jpg | https://m.media-amazon.com/images/I/61GoJ+WtPPL._SL1500_.jpg | https://m.media-amazon.com/images/I/61kGvFPFOvL._SL1500_.jpg | https://m.media-amazon.com/images/I/61fkwnEGgtL._SL1500_.jpg | https://m.media-amazon.com/images/I/61Ge3OXv+TL._SL1500_.jpg | https://m.media-amazon.com/images/I/5121LM2qWDL._SL1500_.jpg | https://m.media-amazon.com/images/I/61lcmsHh9AL._SL1500_.jpg | https://m.media-amazon.com/images/I/61PEuyQzslL._SL1500_.jpg | https://m.media-amazon.com/images/I/61tqLNGpn7L._SL1500_.jpg | https://m.media-amazon.com/images/I/61gGip5ZlXL._SL1500_.jpg",,"images/shirts/shirt_07_img1.jpg | images/shirts/shirt_07_img2.jpg | images/shirts/shirt_07_img3.jpg | images/shirts/shirt_07_img4.jpg | images/shirts/shirt_07_img5.jpg | images/shirts/shirt_07_img6.jpg | images/shirts/shirt_07_img7.jpg | images/shirts/shirt_07_img8.jpg | images/shirts/shirt_07_img9.jpg | images/shirts/shirt_07_img10.jpg | images/shirts/shirt_07_img11.jpg | images/shirts/shirt_07_img12.jpg | images/shirts/shirt_07_img13.jpg | images/shirts/shirt_07_img14.jpg | images/shirts/shirt_07_img15.jpg | images/shirts/shirt_07_img16.jpg | images/shirts/shirt_07_img17.jpg | images/shirts/shirt_07_img18.jpg | images/shirts/shirt_07_img19.jpg | images/shirts/shirt_07_img20.jpg | images/shirts/shirt_07_img21.jpg | images/shirts/shirt_07_img22.jpg | images/shirts/shirt_07_img23.jpg | images/shirts/shirt_07_img24.jpg"
B0CBX5B4M9,Shirt,"U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men | Cotton Mix 220 GSM",Visit the U TURN Store,398,"₹1,599",-75%,3.6 3.6 out of 5 stars,"(2,169)",,,,,,,https://www.amazon.in/dp/B0CBX5B4M9,"https://m.media-amazon.com/images/I/61SB14qT0EL._SL1500_.jpg | https://m.media-amazon.com/images/I/71DKUV4rTlL._SL1500_.jpg | https://m.media-amazon.com/images/I/71efEZa+kVL._SL1500_.jpg | https://m.media-amazon.com/images/I/713PHULMyWL._SL1500_.jpg | https://m.media-amazon.com/images/I/71XRV+IU0mL._SL1500_.jpg | https://m.media-amazon.com/images/I/61M+dtE3GiL._SL1115_.jpg | https://m.media-amazon.com/images/I/717N5GkMKdL._SL1500_.jpg | https://m.media-amazon.com/images/I/61A-rSZ6yRL._SL1500_.jpg | https://m.media-amazon.com/images/I/71khKCJkyhL._SL1500_.jpg",,"images/shirts/shirt_08_img1.jpg | images/shirts/shirt_08_img2.jpg | images/shirts/shirt_08_img3.jpg | images/shirts/shirt_08_img4.jpg | images/shirts/shirt_08_img5.jpg | images/shirts/shirt_08_img6.jpg | images/shirts/shirt_08_img7.jpg | images/shirts/shirt_08_img8.jpg | images/shirts/shirt_08_img9.jpg"
B0DTG7H5Q6,Shirt,Majestic Man Comfort Slim Fit Pure Cotton Checked Casual Shirt,Visit the Majestic Man Store,469,"₹1,499",-69%,4.1 4.1 out of 5 stars,(683),,,,,,,https://www.amazon.in/dp/B0DTG7H5Q6,"https://m.media-amazon.com/images/I/61gzdx5DScL._SL1440_.jpg | https://m.media-amazon.com/images/I/61d09terw7L._SL1440_.jpg | https://m.media-amazon.com/images/I/61nNn2XhllL._SL1440_.jpg | https://m.media-amazon.com/images/I/61FqOS17DIL._SL1440_.jpg | https://m.media-amazon.com/images/I/61NnRAwJG8L._SL1440_.jpg | https://m.media-amazon.com/images/I/71qIP5HN8LL._SL1440_.jpg | https://m.media-amazon.com/images/I/61XLcoa3JjL._SL1440_.jpg | https://m.media-amazon.com/images/I/71JcGuGkTrL._SL1440_.jpg | https://m.media-amazon.com/images/I/610Iwf6xIEL._SL1440_.jpg | https://m.media-amazon.com/images/I/61qLl-kfdRL._SL1440_.jpg | https://m.media-amazon.com/images/I/61glPHFqfQL._SL1440_.jpg | https://m.media-amazon.com/images/I/61WwpL1ARlL._SL1440_.jpg | https://m.media-amazon.com/images/I/61ihrUrJELL._SL1440_.jpg | https://m.media-amazon.com/images/I/61r2f-yv4dL._SL1440_.jpg | https://m.media-amazon.com/images/I/61Ij0wJ3d1L._SL1440_.jpg | https://m.media-amazon.com/images/I/61yEJJsj18L._SL1440_.jpg",,"images/shirts/shirt_09_img1.jpg | images/shirts/shirt_09_img2.jpg | images/shirts/shirt_09_img3.jpg | images/shirts/shirt_09_img4.jpg | images/shirts/shirt_09_img5.jpg | images/shirts/shirt_09_img6.jpg | images/shirts/shirt_09_img7.jpg | images/shirts/shirt_09_img8.jpg | images/shirts/shirt_09_img9.jpg | images/shirts/shirt_09_img10.jpg | images/shirts/shirt_09_img11.jpg | images/shirts/shirt_09_img12.jpg | images/shirts/shirt_09_img13.jpg | images/shirts/shirt_09_img14.jpg | images/shirts/shirt_09_img15.jpg | images/shirts/shirt_09_img16.jpg"
B0CBX4LNT9,Shirt,"U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men | Cotton Mix 220 GSM",Visit the U TURN Store,398,"₹1,599",-75%,3.6 3.6 out of 5 stars,"(2,169)",,,,,,,https://www.amazon.in/dp/B0CBX4LNT9,"https://m.media-amazon.com/images/I/71XRV+IU0mL._SL1500_.jpg | https://m.media-amazon.com/images/I/61lCVygbgjL._SL1500_.jpg | https://m.media-amazon.com/images/I/61anPO+MpTL._SL1500_.jpg | https://m.media-amazon.com/images/I/61LpnCHWIwL._SL1500_.jpg | https://m.media-amazon.com/images/I/51S85+JWncL._SL1018_.jpg | https://m.media-amazon.com/images/I/61M+dtE3GiL._SL1115_.jpg | https://m.media-amazon.com/images/I/717N5GkMKdL._SL1500_.jpg | https://m.media-amazon.com/images/I/61SB14qT0EL._SL1500_.jpg | https://m.media-amazon.com/images/I/61A-rSZ6yRL._SL1500_.jpg | https://m.media-amazon.com/images/I/71khKCJkyhL._SL1500_.jpg",,"images/shirts/shirt_10_img1.jpg | images/shirts/shirt_10_img2.jpg | images/shirts/shirt_10_img3.jpg | images/shirts/shirt_10_img4.jpg | images/shirts/shirt_10_img5.jpg | images/shirts/shirt_10_img6.jpg | images/shirts/shirt_10_img7.jpg | images/shirts/shirt_10_img8.jpg | images/shirts/shirt_10_img9.jpg | images/shirts/shirt_10_img10.jpg"
